csf_function,csf_category,csf_subcategory,csf_title,iso27001_annex_a,iso27001_clauses
Govern,GV.OC,GV.OC-01,The organizational mission is understood and informs cybersecurity risk management,,4.1; 6.1; 8.1; 8.2; 8.3
Govern,GV.OC,GV.OC-02,"Internal and external stakeholders are understood, and their needs and expectations regarding cybersecurity risk management are understood and considered",,4.1; 4.2; 4.4; 6.1; 8.1; 8.2; 8.3
Govern,GV.OC,GV.OC-03,"Legal, regulatory, and contractual requirements regarding cybersecurity - including privacy and civil liberties obligations - are understood and managed",A.5.20; A.5.31,4.2(a); 4.2(b)
Govern,GV.OC,GV.OC-04,"Critical objectives, capabilities, and services that external stakeholders depend on or expect from the organization are understood and communicated",A.5.20; A.5.31,4.2(a); 4.2(b)
Govern,GV.OC,GV.OC-05,"Outcomes, capabilities, and services that the organization depends on are understood and communicated",A.5.3,
Govern,GV.RM,GV.RM-01,Risk management objectives are established and agreed to by organizational stakeholders,A.5.1,6.1.1; 6.1.2
Govern,GV.RM,GV.RM-02,"Risk appetite and risk tolerance statements are established, communicated, and maintained",A.5.1,6.1.2
Govern,GV.RM,GV.RM-03,Cybersecurity risk management activities and outcomes are included in enterprise risk management processes,A.5.1,6.1.3
Govern,GV.RM,GV.RM-04,Strategic direction that describes appropriate risk response options is established and communicated,A.5.1,6.1.3
Govern,GV.RM,GV.RM-05,"Lines of communication across the organization are established for cybersecurity risks, including risks from suppliers and other third parties",A.5.1; A.5.19,6.1.1; 6.1.3
Govern,GV.RM,GV.RM-06,"A standardized method for calculating, documenting, categorizing, and prioritizing cybersecurity risks is established and communicated",A.5.1,6.1.2
Govern,GV.RM,GV.RM-07,"Strategic opportunities (i.e., positive risks) are characterized and are included in organizational cybersecurity risk discussions",,6.11
Govern,GV.RR,GV.RR-01,"Organizational leadership is responsible and accountable for cybersecurity risk and fosters a culture that is risk-aware, ethical, and continually improving",A.5.4,7.2
Govern,GV.RR,GV.RR-02,"Roles, responsibilities, and authorities related to cybersecurity risk management are established, communicated, understood, and enforced",,7.2
Govern,GV.RR,GV.RR-03,"Adequate resources are allocated commensurate with the cybersecurity risk strategy, roles, responsibilities, and policies",,"7.1, 7.2"
Govern,GV.RR,GV.RR-04,Cybersecurity is included in human resources practices,A.6.1; A.6.2; A.6.3; A.6.4; A.6.5; A.6.6; A.6.7; A.6.8,7.3
Govern,GV.PO,GV.PO-01,"Policy for managing cybersecurity risks is established based on organizational context, cybersecurity strategy, and priorities and is communicated and enforced",A.5.1,5.2
Govern,GV.PO,GV.PO-02,"Policy for managing cybersecurity risks is reviewed, updated, communicated, and enforced to reflect changes in requirements, threats, technology, and organizational mission",A.5.1,5.2
Govern,GV.OV,GV.OV-01,Cybersecurity risk management strategy outcomes are reviewed to inform and adjust strategy and direction,A.5.1; A.5.19,9.1
Govern,GV.OV,GV.OV-02,The cybersecurity risk management strategy is reviewed and adjusted to ensure coverage of organizational requirements and risks,A.5.1; A.5.19,9.1
Govern,GV.OV,GV.OV-03,Organizational cybersecurity risk management performance is evaluated and reviewed for adjustments needed,A.5.1; A.5.19; A.5.20,9.1
Govern,GV.SC,GV.SC-01,"A cybersecurity supply chain risk management program, strategy, objectives, policies, and processes are established and agreed to by organizational stakeholders",A.5.1; A.5.19; A.5.20; A.5.21; A.5.22,8.1
Govern,GV.SC,GV.SC-02,"Cybersecurity roles and responsibilities for suppliers, customers, and partners are established, communicated, and coordinated internally and externally",A.5.2; A.5.4,5.3
Govern,GV.SC,GV.SC-03,"Cybersecurity supply chain risk management is integrated into cybersecurity and enterprise risk management, risk assessment, and improvement processes",A.5.1; A.5.19; A.5.20; A.5.21,8.1
Govern,GV.SC,GV.SC-04,Suppliers are known and prioritized by criticality,A.5.19; A.5.22,6.1.1; 6.1.2; 6.1.3
Govern,GV.SC,GV.SC-05,"Requirements to address cybersecurity risks in supply chains are established, prioritized, and integrated into contracts and other types of agreements with suppliers and other relevant third parties",A.5.19; A.5.20; A.5.31,4.2 (a)
Govern,GV.SC,GV.SC-06,Planning and due diligence are performed to reduce risks before entering into formal supplier or other third-party relationships,A.5.19; A.5.20; A.5.31,4.2 (a)
Govern,GV.SC,GV.SC-07,"The risks posed by a supplier, their products and services, and other third parties are understood, recorded, prioritized, assessed, responded to, and monitored over the course of the relationship",A.5.19; A.5.20; A.5.31,6.1.1; 6.1.2; 6.1.3
Govern,GV.SC,GV.SC-08,"Relevant suppliers and other third parties are included in incident planning, response, and recovery activities",A.5.26,
Govern,GV.SC,GV.SC-09,"Supply chain security practices are integrated into cybersecurity and enterprise risk management programs, and their performance is monitored throughout the technology product and service life cycle",A.5.19; A.5.20; A.5.21; A.5.22,6.1.1; 6.1.2
Govern,GV.SC,GV.SC-10,Cybersecurity supply chain risk management plans include provisions for activities that occur after the conclusion of a partnership or service agreement,A.5.19; A.5.20; A.5.21; A.5.22,6.1.1; 6.1.2; 6.1.3
Identify,ID.AM,ID.AM-01,Inventories of hardware managed by the organization are maintained,A.5.9,
Identify,ID.AM,ID.AM-02,"Inventories of software, services, and systems managed by the organization are maintained",A.5.9,
Identify,ID.AM,ID.AM-03,Representations of the organization's authorized network communication and internal and external network data flows are maintained,A.5.14; A.8.20; A.8.21; A.8.22,
Identify,ID.AM,ID.AM-04,Inventories of services provided by suppliers are maintained,A.5.22,
Identify,ID.AM,ID.AM-05,"Assets are prioritized based on classification, criticality, resources, and impact on the mission",A.5.9; A.5.12; A.5.13,
Identify,ID.AM,ID.AM-07,Inventories of data and corresponding metadata for designated data types are maintained,A.5.9,
Identify,ID.AM,ID.AM-08,"Systems, hardware, software, services, and data are managed throughout their life cycles",A.5.8; A.5.9; A.5.12; A.5.13; A.5.19; A.5.22; A.7.10; A.7.13; A.7.14,
Identify,ID.RA,ID.RA-01,"Vulnerabilities in assets are identified, validated, and recorded",A.8.8,
Identify,ID.RA,ID.RA-02,Cyber threat intelligence is received from information sharing forums and sources,A.5.7; A.5.22; A.8.16,
Identify,ID.RA,ID.RA-03,Internal and external threats to the organization are identified and recorded,A.5.7; A.5.22; A.8.16,6.1.1; 6.1.2; 6.1.3
Identify,ID.RA,ID.RA-04,Potential impacts and likelihoods of threats exploiting vulnerabilities are identified and recorded,,6.1.1; 6.1.2; 6.1.3
Identify,ID.RA,ID.RA-05,"Threats, vulnerabilities, likelihoods, and impacts are used to understand inherent risk and inform risk response prioritization",A.5.7,6.1.1; 6.1.2; 6.1.3
Identify,ID.RA,ID.RA-06,"Risk responses are chosen, prioritized, planned, tracked, and communicated",A.5.7,6.13
Identify,ID.RA,ID.RA-07,"Changes and exceptions are managed, assessed for risk impact, recorded, and tracked",A.8.32,6.1.3
Identify,ID.RA,ID.RA-08,"Processes for receiving, analyzing, and responding to vulnerability disclosures are established",,6.1.2
Identify,ID.RA,ID.RA-09,The authenticity and integrity of hardware and software are assessed prior to acquisition and use,A.5.19; A.5.20; A.5.22,
Identify,ID.RA,ID.RA-10,Critical suppliers are assessed prior to acquisition,A.5.19; A.5.20; A.5.22,
Identify,ID.IM,ID.IM-01,Improvements are identified from evaluations,A.5.35,9.2; 10.1; 10.2
Identify,ID.IM,ID.IM-02,"Improvements are identified from security tests and exercises, including those done in coordination with suppliers and relevant third parties",A.5.19; A.5.35,9.2; 9.3; 10.1; 10.2
Identify,ID.IM,ID.IM-03,"Improvements are identified from execution of operational processes, procedures, and activities",A.5.27,9.1
Identify,ID.IM,ID.IM-04,"Incident response plans and other cybersecurity plans that affect operations are established, communicated, maintained, and improved",A.5.24; A.5.26; A.5.27,9.1
Protect,PR.AA,PR.AA-01,"Identities and credentials for authorized users, services, and hardware are managed by the organization",A.5.15; A.5.18; A.8.2; A.8.5,
Protect,PR.AA,PR.AA-02,Identities are proofed and bound to credentials based on the context of interactions,A.8.2; A.8.3; A.8.5,
Protect,PR.AA,PR.AA-03,"Users, services, and hardware are authenticated",A.5.15; A.5.16; A.5.17; A.5.18; A.8.5,
Protect,PR.AA,PR.AA-04,"Identity assertions are protected, conveyed, and verified",A.5.16,
Protect,PR.AA,PR.AA-05,"Access permissions, entitlements, and authorizations are defined in a policy, managed, enforced, and reviewed, and incorporate the principles of least privilege and separation of duties",A.5.1; A.5.3; A.5.14; A.5.15; A.5.16; A.5.17; A.5.18; A.8.2; A.8.3; A.8.5; A.8.18,
Protect,PR.AA,PR.AA-06,"Physical access to assets is managed, monitored, and enforced commensurate with risk",A.7.1; A.7.2; A.7.3; A.7.4; A.7.12,
Protect,PR.AT,PR.AT-01,Personnel are provided with awareness and training so that they possess the knowledge and skills to perform general tasks with cybersecurity risks in mind,A.6.3,7.3
Protect,PR.AT,PR.AT-02,Individuals in specialized roles are provided with awareness and training so that they possess the knowledge and skills to perform relevant tasks with cybersecurity risks in mind,A.5.2; A.6.3,7.3
Protect,PR.DS,PR.DS-01,"The confidentiality, integrity, and availability of data-at-rest are protected",A.5.1; A.5.3; A.5.10; A.5.13; A.5.14; A.5.15; A.6.1; A.6.2; A.6.5; A.7.7; A.7.10; A.8.2; A.8.3; A.8.4; A.8.7; A.8.8; A.8.17; A.8.19; A.8.22; A.8.26,4.2(b); 5.2
Protect,PR.DS,PR.DS-02,"The confidentiality, integrity, and availability of data-in-transit are protected",A.5.3; A.5.10; A.5.13; A.5.14; A.5.15; A.6.1; A.6.2; A.6.5; A.8.2; A.8.3; A.8.4; A.8.17; A.8.20; A.8.22; A.8.26,4.2(b); 5.2
Protect,PR.DS,PR.DS-10,"The confidentiality, integrity, and availability of data-in-use are protected",A.5.3; A.5.10; A.5.13; A.5.14; A.5.15; A.6.1; A.6.2; A.6.5; A.8.2; A.8.3; A.8.4; A.8.17; A.8.22; A.8.26,4.2(b); 5.2
Protect,PR.DS,PR.DS-11,"Backups of data are created, protected, maintained, and tested",A.8.13,
Protect,PR.PS,PR.PS-01,Configuration management practices are established and applied,A.8.9,9.3
Protect,PR.PS,PR.PS-02,"Software is maintained, replaced, and removed commensurate with risk",A.5.9,
Protect,PR.PS,PR.PS-03,"Hardware is maintained, replaced, and removed commensurate with risk",A.5.9,
Protect,PR.PS,PR.PS-04,Log records are generated and made available for continuous monitoring,A.8.15; A.8.17,
Protect,PR.PS,PR.PS-05,Installation and execution of unauthorized software are prevented,A.8.19,
Protect,PR.PS,PR.PS-06,"Secure software development practices are integrated, and their performance is monitored throughout the software development life cycle",A.8.25; A.8.28,
Protect,PR.IR,PR.IR-01,Networks and environments are protected from unauthorized logical access and usage,A.8.20; A.8.21; A.8.22,
Protect,PR.IR,PR.IR-02,The organization's technology assets are protected from environmental threats,A.7.5,
Protect,PR.IR,PR.IR-03,Mechanisms are implemented to achieve resilience requirements in normal and adverse situations,A.5.29; A.8.14,4.2(b); 6.1.1
Protect,PR.IR,PR.IR-04,Adequate resource capacity to ensure availability is maintained,A.8.6,
Detect,DE.CM,DE.CM-01,Networks and network services are monitored to find potentially adverse events,A.8.16,
Detect,DE.CM,DE.CM-02,The physical environment is monitored to find potentially adverse events,A.7.4,
Detect,DE.CM,DE.CM-03,Personnel activity and technology usage are monitored to find potentially adverse events,A.7.4; A.8.16,9.1
Detect,DE.CM,DE.CM-06,External service provider activities and services are monitored to find potentially adverse events,A.5.22; A.8.16,
Detect,DE.CM,DE.CM-09,"Computing hardware and software, runtime environments, and their data are monitored to find potentially adverse events",A.8.16,
Detect,DE.AE,DE.AE-02,Potentially adverse events are analyzed to better understand associated activities,A.5.24; A.5.25,
